category,code
原動機,gendoki
トラクター,tractor
耕運用関連機械,kouunuyokanrenkikai
砕土整地用機械,saidoyoukanrenkikai
耕土改良・造成用機械,koudokairyo-zoseiyoukikai
施肥・播種用関連機器,sehi-hasyuyoukanrenkiki
田植・育苗・移植用関連機器,taue-ikubyo-isyokuyoukanrenkiki
栽培管理用機械,saibaikanriyokikai
防除用機械,bojoyoukikai
米麦用収穫、乾燥機械・施設,beibakuyosyukaku-kansokikai-shisetsu
穀物（米・麦）調整加工用機械・施設,kokumoku-kome-mugi-tyoseikakoyoukikai
稲わら・籾がらの処理、加工機械,inewara-momigarasyori
野菜の施設栽培機械・施設,yasaisisetusaibai
果樹用機械・施設,kajuyoukikai
畑作用、特用作物の収穫、調整用機械、施設,hatasakuyou-tokuyousakumotusyukaku
飼料生産用機械、施設,siryoseisanyo
飼料調整加工用機械,siryotyoseiyo
家畜飼養管理用機械,katikusiyoukanriyou
育蚕用機械,ikusanyou
茶園用機械,tyaenyou
林産用機械,rinsanyou
運搬用機械,unpanyou
農業用測定機器,nougyouyousokuteikiki
その他関連機械、機器、装置,other
FA用施設（プラント、設備、測定機器、装置）,fayousisetu
バイオマス関係,biomath
害虫捕獲防除・鳥獣防止機器・資材関係,gaityuhokakubojo
自然エネルギー利用関係,energy-riyou
