sub_category,code,category_code
空冷ガソリンエンジン,air-cooled_gasoline_engine,gendoki
水冷ディーゼルエンジン,water-cooled_diesel_engine,gendoki
液冷ディーゼルエンジン,Liquid_cooling_diesel_engine,gendoki
歩行用トラクター,walking_tractor,tractor
管理専用機,management_machine,tractor
乗用トラクター（車輪型）,riding_tractor-wheel_type,tractor
乗用トラクター（半装軌型）,riding_tractor-hansokitype,tractor
乗用トラクター（装軌型/農耕用トラクターを含む）,riding_tractor-sokitype,tractor
傾斜草地用多機能トラクター,multi_tractor,tractor
サブソイラー（非振動式）,subsoiler,koudokairyo-zoseiyoukikai
パンブレーカー（けん引式）,panbraker,koudokairyo-zoseiyoukikai
サブソイラー（振動式）,subsoiler-vibration_type,koudokairyo-zoseiyoukikai
サブソイラー（コンビプラウ）,subsoiler-comb_plow,koudokairyo-zoseiyoukikai
プラソイラー（心土作溝土層改良機）,plosoiler,koudokairyo-zoseiyoukikai
ドレーナー（振動式）,drainer-vibration_type,koudokairyo-zoseiyoukikai
トレンチャー（自走式/ 車輪型/チェーン式),trencher-self,koudokairyo-zoseiyoukikai
トレンチャー（直装式/車輪型/チェーン式）,trencher-direct,koudokairyo-zoseiyoukikai
ロータリートレンチャー,rotary_trencher,koudokairyo-zoseiyoukikai
溝掘機,trench_digger,koudokairyo-zoseiyoukikai
穴掘機（携帯用）,hole_digger-mobile,koudokairyo-zoseiyoukikai
溝掘機（スキ上げ方式）,trench_digger-sukiage,koudokairyo-zoseiyoukikai
穴掘機（乗用トラクター用）,hole_digger-riging_tractor,koudokairyo-zoseiyoukikai
石抜機（除石機）,stone_unplug_machine,koudokairyo-zoseiyoukikai
油圧ショベル（クローラー式）,hydraulic_excavator-crawler_type,koudokairyo-zoseiyoukikai
トラクターショベル（車輪式）,tractor_excavator-wheel,koudokairyo-zoseiyoukikai
小型ショベル,smoll-excavator,koudokairyo-zoseiyoukikai
ホイールローダー,wheel-loader,koudokairyo-zoseiyoukikai
レーザーレベラー（表土均平機）,lazer_leveler,koudokairyo-zoseiyoukikai
土壌膨軟機（トラクター用）,soil_bonan_machine,koudokairyo-zoseiyoukikai
ストーンクラッシャー,stone_clasher,koudokairyo-zoseiyoukikai
もみがら埋設機,chaff_buried_machine,koudokairyo-zoseiyoukikai
もみがら集積散布運搬トレーラー,chaff_shusekisanpu_machine,koudokairyo-zoseiyoukikai
もみがら散布機,chaff_sanpuki,koudokairyo-zoseiyoukikai
深耕機,deep_plowing_machine,koudokairyo-zoseiyoukikai
チゼルプラウ,chizel_plow,koudokairyo-zoseiyoukikai
ケンブリッジローラー（鎮圧ローラー）,cambridge_roller,koudokairyo-zoseiyoukikai
ボトムプラウ,botom_plow,kouunuyokanrenkikai
樹脂板付ボトムプラウ,botom_plow-jushibantuki,kouunuyokanrenkikai
格子型プラウ,plow-koshigata,kouunuyokanrenkikai
駆動ディスクプラウ,plow-disk,kouunuyokanrenkikai
プラウ（すき/歩行用トラクター用）,plow-suki-walking,kouunuyokanrenkikai
プラウ（すき/乗用トラクター用）,plow-suki-riding,kouunuyokanrenkikai
ロータリー（乗用トラクター用/サイドドライブ式）,rotary-riding-side,kouunuyokanrenkikai
ロータリー（乗用トラクター用/センタードライブ式）,rotary-riding-center,kouunuyokanrenkikai
ロータリー（乗用トラクター用/深耕用ロータリー）,rotary-riding-deep,kouunuyokanrenkikai
