トラクター,tractor
コンバイン,combine
田植機,taueki
アルミブリッジ,Aluminum_bridge
ウエイト,weight
エンジン,engine
グレンコンテナー,grain_container
クローラー,crawler
ゴムロール,rubber_roll
コンバイン刈取刃,combine_karitoriki
コンプレッサー,compressor
スピードスプレーヤー,speed_sprayer
タイヤ,tire
チェーンソー,chainsaw
テーラー,tailor
デバイダー,divider
トレーラー,traylor
トレンチャー,trencher
ハーベスター,harvester
バインダー,binder
バックホー,back_hoe
ハロー,harrow
フォークリフト,forklift
プラウ,plow
ブロードキャスター,broadcaster
ポンプ,pomp
マニアスプレッダー,mania_spreader
モアコン,mower_conditioner
ライスグレーダー,rice_grader
ライムソワー,rime_sawer
ロータリー,rotary
ロールベーラー,roll_baler
運搬機,unnpannki
刈払機,karibaraiki
管理機,kannriki
乾燥機,kansoki
畦塗機,azenuriki
計量器,keiryoki
結束機,kessokuki
溝切機,mizokiriki
耕運機,kounnki
混合機,konngoki
催芽機,saigaki
砕土機,saidoki
散布機,sannpuki
堆肥機,taihiki
車輪,syarinn
除雪機,josetsuki
精米機,seimaiki
洗浄機,sennjoki
選別機,sennbetsuki
草刈機,kusakariki
貯蔵庫,chozoko
動力噴霧機,doryokuhunnmuki
播種機,hasyuki
培土機,baidoki
発電機,hatsudennki
苗コンテナー,nae-container
防除機,bojoki
籾摺機,momisuriki
その他,other
