2　乗用型田植機(クランク式・ロータリー式),"","","","","","","","","","","","","","","",""
"",(3)6条,"","","","","","","","","","","","","","",""
"",②東北,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,植付け方式,"",施肥機,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",クランク,ロータリー,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,PA60D,4,6,"",●,"",●,94,～,"",05,350,195,65,""
"",ヰセキ,PA63,3,6,"",●,●,"",95,～,"",97,233,211,170,""
"",ヰセキ,PA63,5,6,"",●,"",●,96,～,"",00,500,276,108,""
"",ヰセキ,PG63,9,6,"",●,●,"",03,～,"",08,795,623,330,""
"",ヰセキ,PH6,3,6,"",●,●,"",98,～,"",00,324,225,150,""
"",ヰセキ,PH6,3,6,"",●,"",●,01,～,"",03,400,267,150,""
"",ヰセキ,PZ60,3,6,"",●,●,"",08,～,"",12,1250,1027,680,""
"",ヰセキ,PZ60,7,6,"",●,"",●,06,～,"",10,1080,863,616,""
"",クボタ,EP65,4,6,"",●,"",●,11,～,"",11,1500,1446,1320,""
"",クボタ,EP67,4,6,"",●,●,"",11,～,"",11,1935,1684,1302,""
"",クボタ,NSU60,4,6,"",●,●,"",06,～,"",06,880,776,694,""
"",クボタ,NSU60,6,6,"",●,"",●,06,～,"",06,850,612,463,""
"",クボタ,NSU65,20,6,"",●,●,"",06,～,"",09,1815,1048,491,""
"",クボタ,NSU65,24,6,"",●,"",●,06,～,"",09,1271,922,337,""
"",クボタ,NSU67,17,6,"",●,●,"",06,～,"",09,1353,1036,680,""
"",クボタ,NSU67,11,6,"",●,"",●,06,～,"",09,1500,971,60,""
"",クボタ,SPA6,11,6,"",●,"",●,93,～,"",93,278,175,12,""
"",クボタ,SPA65,21,6,"",●,"",●,96,～,"",96,370,193,46,""
"",クボタ,SPA65G,4,6,"",●,"",●,96,～,"",96,324,260,185,""
"",クボタ,SPU60,5,6,"",●,●,"",00,～,"",02,435,322,231,""
"",クボタ,SPU60,16,6,"",●,"",●,00,～,"",00,654,390,05,""
"",クボタ,SPU600,8,6,"",●,"",●,03,～,"",03,677,510,139,""
"",クボタ,SPU65,17,6,"",●,●,"",00,～,"",00,602,416,46,""
"",クボタ,SPU65,27,6,"",●,"",●,00,～,"",04,769,462,28,""
"",クボタ,SPU650,26,6,"",●,●,"",03,～,"",03,926,576,34,""
"",クボタ,SPU650,29,6,"",●,"",●,03,～,"",04,840,591,83,""
"",三菱,LV6,6,6,"",●,●,"",05,～,"",09,832,589,350,""
"",三菱,LV6,8,6,"",●,"",●,03,～,"",09,926,542,300,""
"",三菱,MPR610,3,6,"",●,"",●,94,～,"",01,602,441,270,""
"",ヤンマー,GP6,4,6,"",●,●,"",96,～,"",98,500,408,300,""
"",ヤンマー,GP6,9,6,"",●,"",●,96,～,"",96,602,344,10,""
"",ヤンマー,GP6A,4,6,"",●,●,"",99,～,"",01,662,469,350,""
"",ヤンマー,GP6A,9,6,"",●,"",●,00,～,"",00,648,396,154,""
"",ヤンマー,GP6R,4,6,"",●,"",●,03,～,"",05,722,483,250,""
"",ヤンマー,RR6,3,6,"",●,●,"",02,～,"",02,648,508,376,""
"",ヤンマー,RR6,15,6,"",●,"",●,98,～,"",04,602,397,37,""
"",ヤンマー,RR60,6,6,"",●,"",●,93,～,"",15,300,128,09,""
"",ヤンマー,RR600,12,6,"",●,"",●,96,～,"",96,370,164,05,""
"",ヤンマー,VP6,18,6,"",●,●,"",02,～,"",06,1297,794,40,""
"",ヤンマー,VP6,20,6,"",●,"",●,03,～,"",07,1296,800,556,""
"",ヤンマー,VP60C,4,6,"",●,"",●,07,～,"",09,1074,818,729,""
"",ヤンマー,VP60RX,3,6,"",●,●,"",10,～,"",11,1491,1387,1327,""
"",ヤンマー,VP60RX,5,6,"",●,"",●,09,～,"",11,1350,1107,900,""
"",ヤンマー,VP60X,4,6,"",●,●,"",07,～,"",08,1400,1120,877,""
"",ヤンマー,VP60X,7,6,"",●,"",●,07,～,"",08,1270,951,231,""
"",ヤンマー,VP6C,9,6,"",●,"",●,03,～,"",06,811,610,305,""
