3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(1)2条,"","","","","","","","","","","","","","",""
"",⑤近畿,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HE209,5,2,"",●,"",●,96,～,"",07,357,195,11,""
"",ヰセキ,HV214,3,2,●,"","",●,99,～,"",02,869,632,350,""
"",ヰセキ,HV218,4,2,●,"","",●,98,～,"",03,979,715,173,""
"",ヰセキ,HVA214,3,2,●,"","",●,02,～,"",05,732,707,692,""
"",ヰセキ,HVA216,6,2,●,"","",●,00,～,"",05,1151,798,600,""
"",ヰセキ,HVG218,6,2,●,"","",●,05,～,"",10,1361,1219,1080,""
"",ヰセキ,HVS218,5,2,●,"","",●,01,～,"",04,929,599,342,""
"",クボタ,AR211,6,2,"",●,"",●,03,～,"",03,694,530,391,""
"",クボタ,AR213,5,2,"",●,"",●,03,～,"",03,833,568,250,""
"",クボタ,AR216,11,2,●,"","",●,03,～,"",05,1112,804,368,""
"",クボタ,AR218,11,2,●,"","",●,03,～,"",03,1481,955,300,""
"",クボタ,AR221,4,2,●,"","",●,03,～,"",05,1200,959,350,""
"",クボタ,ARN211,3,2,"",●,"",●,06,～,"",06,602,538,445,""
"",クボタ,ARN214,3,2,●,"","",●,06,～,"",06,1280,947,741,""
"",クボタ,ARN216,9,2,●,"","",●,06,～,"",06,1343,1006,570,""
"",クボタ,ARN219,7,2,●,"","",●,06,～,"",06,1565,1136,800,""
"",クボタ,R1-131A,7,2,"",●,"",●,91,～,"",91,371,261,50,""
"",クボタ,R1-14A,4,2,"",●,"",●,89,～,"",89,370,191,10,""
"",クボタ,R216S,7,2,●,"","",●,01,～,"",01,1171,604,93,""
"",クボタ,R218S,3,2,●,"","",●,01,～,"",01,1153,987,881,""
"",クボタ,S216,3,2,●,"","",●,11,～,"",11,1046,856,556,""
"",クボタ,SR14,3,2,●,"","",●,96,～,"",96,926,472,65,""
"",クボタ,SR14,5,2,"",●,"",●,96,～,"",96,463,380,277,""
"",クボタ,SR16,5,2,●,"","",●,96,～,"",96,740,597,463,""
"",クボタ,SR165,7,2,●,"","",●,00,～,"",00,1204,767,296,""
"",クボタ,SR165,3,2,"",●,"",●,00,～,"",00,510,297,02,""
"",クボタ,SR18,6,2,●,"","",●,96,～,"",96,751,539,237,""
"",クボタ,SR195,6,2,●,"","",●,00,～,"",02,1205,692,460,""
"",クボタ,SR20J,3,2,●,"","",●,96,～,"",96,730,550,271,""
"",クボタ,SR-J3,3,2,●,"","",●,97,～,"",97,500,460,417,""
"",クボタ,SR-J3,22,2,"",●,"",●,97,～,"",97,648,346,180,""
"",クボタ,SR-J4,6,2,"",●,"",●,97,～,"",98,556,409,288,""
"",クボタ,SR-J5,6,2,●,"","",●,97,～,"",97,797,476,231,""
"",クボタ,SR-J5,8,2,"",●,"",●,97,～,"",97,583,300,76,""
"",三菱,VM4,3,2,"",●,"",●,98,～,"",98,491,472,463,""
"",ヤンマー,CA105M,4,2,"",●,"",●,92,～,"",92,278,141,09,""
"",ヤンマー,CA120M,4,2,"",●,"",●,91,～,"",05,14,11,09,""
"",ヤンマー,CA125M,4,2,"",●,"",●,93,～,"",96,37,16,09,""
"",ヤンマー,CA125P,5,2,"",●,"",●,93,～,"",95,408,178,08,""
"",ヤンマー,CA130P,7,2,"",●,"",●,95,～,"",98,278,153,19,""
"",ヤンマー,CA135P,3,2,"",●,"",●,90,～,"",90,14,12,09,""
"",ヤンマー,CA140P,19,2,"",●,"",●,93,～,"",99,741,185,08,""
"",ヤンマー,CA160GP,4,2,●,"","",●,93,～,"",95,713,461,09,""
"",ヤンマー,CA180GP,8,2,●,"","",●,98,～,"",00,833,457,09,""
"",ヤンマー,CA230,4,2,●,"","",●,94,～,"",01,850,692,500,""
"",ヤンマー,EE211,4,2,"",●,"",●,08,～,"",08,778,644,556,""
"",ヤンマー,EE213,4,2,"",●,"",●,06,～,"",09,808,718,648,""
"",ヤンマー,EE-2D,7,2,"",●,"",●,96,～,"",96,509,347,185,""
"",ヤンマー,EE-30,4,2,"",●,"",●,04,～,"",04,648,478,200,""
"",ヤンマー,EE-35,6,2,"",●,"",●,99,～,"",99,602,453,250,""
"",ヤンマー,EE-3D,19,2,"",●,"",●,95,～,"",98,630,307,05,""
"",ヤンマー,EE-4D,15,2,"",●,"",●,00,～,"",00,602,238,09,""
"",ヤンマー,GC215,10,2,"",●,"",●,00,～,"",00,639,541,400,""
"",ヤンマー,GC215G,10,2,●,"","",●,01,～,"",04,907,684,556,""
"",ヤンマー,GC216,4,2,●,"","",●,03,～,"",08,1111,669,09,""
"",ヤンマー,GC218,3,2,"",●,"",●,02,～,"",02,741,617,556,""
"",ヤンマー,GC218G,10,2,●,"","",●,00,～,"",01,1204,771,556,""
"",ヤンマー,GC219,4,2,●,"","",●,04,～,"",05,1204,1063,824,""
"",ヤンマー,GC221,11,2,●,"","",●,99,～,"",03,1065,819,400,""
"",ヤンマー,GC222,8,2,●,"","",●,03,～,"",06,1400,1118,912,""
