3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(1)2条,"","","","","","","","","","","","","","",""
"",⑧九州,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HL87,3,2,"",●,"",●,94,～,"",01,300,164,03,""
"",ヰセキ,HP2,3,2,"",●,"",●,03,～,"",05,550,355,215,""
"",ヰセキ,HV214,5,2,"",●,"",●,99,～,"",03,600,462,380,""
"",ヰセキ,HV216,6,2,●,"","",●,98,～,"",02,1512,934,680,""
"",ヰセキ,HV218,6,2,●,"","",●,99,～,"",05,1398,972,737,""
"",ヰセキ,HV220,4,2,●,"","",●,99,～,"",08,1150,1000,750,""
"",ヰセキ,HVA214,4,2,●,"","",●,02,～,"",05,1080,840,529,""
"",ヰセキ,HVA216,5,2,●,"","",●,02,～,"",08,1223,994,825,""
"",ヰセキ,HVG218,8,2,●,"","",●,02,～,"",09,1600,1282,946,""
"",クボタ,AR211,10,2,"",●,"",●,03,～,"",04,648,489,324,""
"",クボタ,AR213,6,2,●,"","",●,03,～,"",03,915,706,563,""
"",クボタ,AR213,8,2,"",●,"",●,03,～,"",03,694,485,186,""
"",クボタ,AR216,24,2,●,"","",●,03,～,"",03,1294,881,420,""
"",クボタ,AR216,7,2,"",●,"",●,03,～,"",04,1250,797,432,""
"",クボタ,AR218,21,2,●,"","",●,03,～,"",03,1364,1021,200,""
"",クボタ,AR218,3,2,"",●,"",●,03,～,"",03,852,713,639,""
"",クボタ,AR221,3,2,●,"","",●,03,～,"",03,1387,1064,741,""
"",クボタ,ARN214,7,2,●,"","",●,06,～,"",06,1200,899,649,""
"",クボタ,ARN216,14,2,●,"","",●,06,～,"",06,1547,1202,741,""
"",クボタ,ARN217,3,2,●,"","",●,06,～,"",06,1520,1340,1000,""
"",クボタ,ARN219,15,2,●,"","",●,06,～,"",06,2084,1448,947,""
"",クボタ,ARN222,8,2,●,"","",●,06,～,"",06,1975,1674,1487,""
"",クボタ,ER211,11,2,●,"","",●,08,～,"",08,1066,898,648,""
"",クボタ,ER211,4,2,"",●,"",●,08,～,"",08,880,688,550,""
"",クボタ,ER213,30,2,●,"","",●,08,～,"",08,1389,1014,695,""
"",クボタ,ER213,6,2,"",●,"",●,08,～,"",08,1006,805,556,""
"",クボタ,ER215,7,2,●,"","",●,12,～,"",12,1800,1575,1356,""
"",クボタ,ER217,5,2,●,"","",●,12,～,"",12,2030,1784,1600,""
"",クボタ,ER220,7,2,●,"","",●,12,～,"",12,2037,1941,1852,""
"",クボタ,R1-131A,3,2,"",●,"",●,91,～,"",91,463,262,93,""
"",クボタ,R1-14A,3,2,"",●,"",●,89,～,"",89,432,157,93,""
"",クボタ,R1-151A,4,2,●,"","",●,91,～,"",91,479,272,05,""
"",クボタ,R1-191A,5,2,●,"","",●,91,～,"",91,641,329,03,""
"",クボタ,R216S,12,2,●,"","",●,01,～,"",01,980,738,417,""
"",クボタ,R218S,3,2,●,"","",●,01,～,"",01,1000,769,611,""
"",クボタ,S216,4,2,●,"","",●,11,～,"",11,1226,1037,898,""
"",クボタ,SR14,4,2,"",●,"",●,96,～,"",96,600,413,220,""
"",クボタ,SR16,8,2,●,"","",●,96,～,"",96,757,639,350,""
"",クボタ,SR165,3,2,"",●,"",●,00,～,"",00,1022,734,577,""
"",クボタ,SR195,5,2,●,"","",●,00,～,"",00,1019,789,600,""
"",クボタ,SR20J,5,2,●,"","",●,96,～,"",96,769,672,509,""
"",クボタ,SR215,9,2,●,"","",●,00,～,"",00,1000,647,09,""
"",クボタ,SR-J3,7,2,"",●,"",●,97,～,"",97,617,410,278,""
"",クボタ,SR-J4,3,2,●,"","",●,97,～,"",97,694,533,350,""
"",クボタ,SR-J4,3,2,"",●,"",●,97,～,"",97,400,379,350,""
"",クボタ,SR-J5,3,2,●,"","",●,97,～,"",97,787,664,556,""
"",クボタ,SR-J5,4,2,"",●,"",●,97,～,"",97,634,393,279,""
"",クボタ,SR-J6,4,2,●,"","",●,00,～,"",00,645,578,509,""
"",三菱,VM219,3,2,●,"","",●,08,～,"",08,1642,1360,984,""
"",三菱,VM2,3,2,"",●,"",●,98,～,"",98,180,96,09,""
"",三菱,VM4,3,2,"",●,"",●,90,～,"",98,352,238,09,""
"",三菱,VMA215,4,2,●,"","",●,10,～,"",13,1731,1387,1157,""
"",ヤンマー,AJ216,3,2,●,"","",●,08,～,"",08,1481,1228,1093,""
"",ヤンマー,AJ217,3,2,●,"","",●,12,～,"",12,1671,1545,1463,""
"",ヤンマー,CA100M,3,2,"",●,"",●,89,～,"",95,185,66,05,""
"",ヤンマー,CA105M,3,2,"",●,"",●,92,～,"",93,194,97,05,""
"",ヤンマー,CA120M,3,2,"",●,"",●,90,～,"",91,14,12,09,""
"",ヤンマー,CA125M,6,2,"",●,"",●,92,～,"",96,269,86,14,""
"",ヤンマー,CA13,3,2,"",●,"",●,97,～,"",01,19,15,14,""
"",ヤンマー,CA130P,12,2,"",●,"",●,95,～,"",02,593,276,09,""
"",ヤンマー,CA140GP,3,2,●,"","",●,94,～,"",94,830,545,250,""
"",ヤンマー,CA140P,17,2,"",●,"",●,93,～,"",99,850,448,09,""
"",ヤンマー,CA15,3,2,"",●,"",●,84,～,"",90,14,14,14,""
"",ヤンマー,CA160GP,4,2,●,"","",●,94,～,"",94,834,495,14,""
"",ヤンマー,CA160P,9,2,"",●,"",●,92,～,"",96,769,274,06,""
"",ヤンマー,CA180GP,11,2,●,"","",●,95,～,"",01,880,362,09,""
"",ヤンマー,CA180P,7,2,"",●,"",●,99,～,"",04,968,355,14,""
"",ヤンマー,CA85M,3,2,"",●,"",●,89,～,"",12,23,14,09,""
"",ヤンマー,EE-2D,7,2,"",●,"",●,96,～,"",96,400,159,05,""
"",ヤンマー,EE-30,4,2,"",●,"",●,01,～,"",04,694,397,45,""
"",ヤンマー,EE-30L,4,2,"",●,"",●,03,～,"",03,720,576,509,""
"",ヤンマー,EE-35,10,2,"",●,"",●,99,～,"",99,711,540,422,""
"",ヤンマー,EE-3D,17,2,"",●,"",●,95,～,"",98,648,317,05,""
"",ヤンマー,EE-4D,5,2,"",●,"",●,96,～,"",00,722,456,14,""
"",ヤンマー,EE-4DG,5,2,●,"","",●,97,～,"",97,834,663,300,""
"",ヤンマー,EE-55,5,2,"",●,"",●,99,～,"",01,694,531,450,""
"",ヤンマー,GC215,10,2,"",●,"",●,00,～,"",00,787,512,19,""
"",ヤンマー,GC215G,14,2,●,"","",●,01,～,"",04,1093,812,14,""
"",ヤンマー,GC216,3,2,●,"","",●,03,～,"",08,1452,1193,926,""
"",ヤンマー,GC217V,3,2,●,"","",●,05,～,"",07,981,878,755,""
"",ヤンマー,GC218,4,2,"",●,"",●,02,～,"",02,1111,846,700,""
"",ヤンマー,GC218G,10,2,●,"","",●,00,～,"",02,1250,964,723,""
"",ヤンマー,GC219,3,2,●,"","",●,05,～,"",05,1350,1290,1250,""
"",ヤンマー,GC221,6,2,●,"","",●,99,～,"",01,1185,968,580,""
"",ヤンマー,GC222,7,2,●,"","",●,04,～,"",06,1852,1212,540,""
"",ヤンマー,GC223V,3,2,●,"","",●,09,～,"",10,1759,1600,1389,""
