1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(2)15～20馬力,"","","","","","","","","","","","","","","","","","","","",""
"",⑦四国,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,16,15,"","",●,"","","","",●,"",●,"",95,～,"",12,528,428,200,""
"",ヰセキ,4,16,"","",●,"","","","",●,"",●,"",09,～,"",13,1180,1061,864,""
"",ヰセキ,4,16.5,"","",●,"","","","",●,"",●,"",95,～,"",09,493,342,178,""
"",ヰセキ,3,18,"","",●,"","","","",●,"",●,"",07,～,"",09,1258,928,592,""
"",ヰセキ,3,17,"","",●,"","","","",●,"",●,"",11,～,"",14,1136,1039,988,""
"",クボタ,3,16,"","",●,"","","","","",●,●,"",92,～,"",92,432,321,213,""
"",クボタ,3,17,"","",●,"","","","","",●,"",●,88,～,"",88,370,351,329,""
"",クボタ,3,16.5,"","",●,"","","","",●,"",●,"",98,～,"",98,463,372,200,""
"",クボタ,3,19,"","",●,"","","","","",●,●,"",90,～,"",90,578,364,236,""
"",ヤンマー,3,17,"","",●,"","","","",●,"",●,"",95,～,"",03,694,555,300,""
"",ヤンマー,8,18,"","",●,"","","","",●,"",●,"",93,～,"",97,850,568,218,""
"",ヤンマー,5,18,"","",●,"","","","",●,"",●,"",92,～,"",02,602,486,300,""
"",ヤンマー,4,15,"","",●,"","","","",●,"",●,"",98,～,"",03,694,539,389,""
"",ヤンマー,4,17,"","",●,"","","","",●,"",●,"",85,～,"",02,700,603,463,""
