1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(3)20～25馬力,"","","","","","","","","","","","","","","","","","","","",""
"",⑥中国,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,AT23,9,23,"",●,"","","","",●,"",●,"",04,～,"",09,1750,1394,1205,""
"",ヰセキ,TA207,6,20,"",●,"","","","",●,"",●,"",89,～,"",06,260,222,150,""
"",ヰセキ,TA227,3,22,"",●,"","","","",●,"",●,"",91,～,"",93,324,258,200,""
"",ヰセキ,TA247,9,24,"",●,"","","","",●,"",●,"",85,～,"",01,450,321,220,""
"",ヰセキ,TF21,8,21,"",●,"","","","",●,"",●,"",92,～,"",02,400,304,220,""
"",ヰセキ,TF223,35,22,"",●,"","","","",●,"",●,"",91,～,"",08,800,503,200,""
"",ヰセキ,TF23,5,23,"",●,"","","","",●,"",●,"",94,～,"",05,400,340,280,""
"",ヰセキ,TF243,7,24,"",●,"","","","",●,"",●,"",99,～,"",11,800,532,200,""
"",ヰセキ,TG21,6,21,"",●,"","","","",●,"",●,"",95,～,"",99,786,450,150,""
"",ヰセキ,TG23,3,23,"",●,"","","","",●,"",●,"",96,～,"",00,782,557,340,""
"",ヰセキ,TG233,11,23,"",●,"","","","",●,"",●,"",99,～,"",04,1110,782,370,""
"",ヰセキ,TH20,17,20,"",●,"","","","",●,"",●,"",02,～,"",07,1004,785,432,""
"",ヰセキ,TH205,3,20,"",●,"","","","",●,"",●,"",12,～,"",13,1647,1189,400,""
"",ヰセキ,TH213,6,21,"",●,"","","","",●,"",●,"",07,～,"",09,1454,1287,1080,""
"",ヰセキ,TH22,15,22,"",●,"","","","",●,"",●,"",02,～,"",09,1200,857,600,""
"",ヰセキ,TH233,7,23,"",●,"","","","",●,"",●,"",08,～,"",10,1500,1305,1040,""
"",ヰセキ,TH235,4,23,"",●,"","","","",●,"",●,"",11,～,"",13,1843,1603,1345,""
"",ヰセキ,TH24,7,24,"",●,"","","","",●,"",●,"",03,～,"",07,1528,904,430,""
"",ヰセキ,THS20,15,20,"",●,"","","","",●,"",●,"",00,～,"",07,800,626,340,""
"",クボタ,B225D,3,22.5,"",●,"","","","",●,"",●,"",08,～,"",09,1300,1197,1092,""
"",クボタ,GB20,15,20,"",●,"","","","",●,"",●,"",96,～,"",00,907,584,180,""
"",クボタ,GB200,12,20,"",●,"","","","",●,"",●,"",00,～,"",04,905,732,530,""
"",クボタ,GL200,4,20,"",●,"","","","",●,"",●,"",93,～,"",93,810,764,644,""
"",クボタ,GL201,6,21,"",●,"","","","",●,"",●,"",93,～,"",96,639,465,300,""
"",クボタ,GL-21,6,21,"",●,"","","","","",●,●,"",90,～,"",90,715,526,463,""
"",クボタ,GL220,3,22,"",●,"","","","",●,"",●,"",93,～,"",97,741,598,360,""
"",クボタ,GL221,3,23,"",●,"","","","",●,"",●,"",96,～,"",96,898,702,500,""
"",クボタ,GL240,11,24,"",●,"","","","",●,"",●,"",93,～,"",97,832,569,300,""
"",クボタ,GT21,9,21,"",●,"","","","",●,"",●,"",97,～,"",01,1083,692,350,""
"",クボタ,GT23,5,23,"",●,"","","","",●,"",●,"",97,～,"",02,907,803,670,""
"",クボタ,GT-3,4,21,"",●,"","","","",●,"",●,"",92,～,"",97,565,316,50,""
"",クボタ,GT-3,3,21,"",●,"","","","","",●,●,"",92,～,"",92,623,527,426,""
"",クボタ,KB20,7,20,"",●,"","","","",●,"",●,"",98,～,"",04,1011,861,574,""
"",クボタ,KB205,3,20.5,"",●,"","","","",●,"",●,"",07,～,"",07,1400,1204,1026,""
"",クボタ,KB21X,6,21,"",●,"","","","",●,"",●,"",09,～,"",09,1362,1230,1153,""
"",クボタ,KL21,11,21,"",●,"","","","",●,"",●,"",99,～,"",99,1216,871,350,""
"",クボタ,KL210,7,21,"",●,"","","","",●,"",●,"",03,～,"",03,1277,1094,787,""
