1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(5)30～40馬力,"","","","","","","","","","","","","","","","","","","","",""
"",②東北,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,AT33,5,33,"",●,"","",●,"","","",●,"",05,～,"",08,2236,1059,253,""
"",ヰセキ,AT33,3,33,"","",●,"",●,"","","",●,"",06,～,"",07,1661,1359,861,""
"",ヰセキ,AT37,3,37,"",●,"","",●,"","","",●,"",05,～,"",07,1943,1726,1500,""
"",ヰセキ,TA337,3,33,"",●,"","","","",●,"",●,"",92,～,"",96,1048,996,940,""
"",ヰセキ,TG313,3,31,"",●,"","",●,"","","",●,"",99,～,"",05,1993,1525,899,""
"",ヰセキ,TG33,5,33,"",●,"","",●,"","","",●,"",95,～,"",98,2230,1417,1000,""
"",ヰセキ,TG333,4,33,"",●,"","",●,"","","",●,"",99,～,"",03,1800,1318,756,""
"",ヰセキ,TGS30,3,30,"",●,"","",●,"","","",●,"",04,～,"",04,1666,1165,450,""
"",ヰセキ,TGS33,4,33,"",●,"","",●,"","","",●,"",00,～,"",04,2300,1759,1296,""
"",ヰセキ,TK33,3,33,"",●,"","",●,"","","",●,"",97,～,"",98,1558,1183,991,""
"",クボタ,GL301,4,31,"",●,"","","","",●,"",●,"",96,～,"",97,1574,1202,864,""
"",クボタ,GL-32,4,32,"",●,"","","","","",●,●,"",90,～,"",90,1000,770,361,""
"",クボタ,GL320,7,32,"",●,"","",●,"","","",●,"",93,～,"",93,1566,1148,520,""
"",クボタ,GL320,8,32,"",●,"","",●,"","","","",●,93,～,"",93,1796,1149,600,""
"",クボタ,GL320,6,32,"",●,"","","","",●,"",●,"",93,～,"",93,1528,1147,800,""
"",クボタ,GL321,6,33,"",●,"","",●,"","","","",●,96,～,"",96,1667,1416,1241,""
"",クボタ,GL367,3,36,"",●,"","","","",●,"",●,"",96,～,"",96,1191,1116,1046,""
"",クボタ,KL30,4,30,"",●,"","",●,"","","",●,"",99,～,"",01,2402,1776,1250,""
"",クボタ,KL30,4,30,"",●,"","","","",●,"",●,"",99,～,"",99,1900,1427,1111,""
"",クボタ,KL31H,3,31,"",●,"","",●,"","","",●,"",00,～,"",00,2184,1729,1343,""
"",クボタ,KL33,10,33,"",●,"","",●,"","","",●,"",99,～,"",99,2686,1973,833,""
"",クボタ,KL33,4,33,"",●,"","","","",●,"",●,"",99,～,"",99,1481,1217,720,""
"",クボタ,KL33(PC),3,33,"","",●,"",●,"","","","",●,00,～,"",00,2405,2148,2000,""
"",クボタ,KL330,7,33,"",●,"","",●,"","","",●,"",03,～,"",03,2315,2074,1852,""
"",クボタ,KL330(PC),6,33,"","",●,"",●,"","","","",●,03,～,"",04,2700,2037,25,""
"",クボタ,KL330D,4,33,"",●,"","",●,"","","",●,"",05,～,"",05,2400,2321,2254,""
"",クボタ,KL340H,8,34,"",●,"","",●,"","","",●,"",03,～,"",03,2688,2369,2065,""
"",クボタ,KL340H,6,34,"",●,"","",●,"","","","",●,03,～,"",03,3600,2618,2324,""
"",クボタ,KL345,3,34,"",●,"","",●,"","","",●,"",07,～,"",07,2944,2575,2269,""
"",クボタ,KL345(PC),3,34,"","",●,"",●,"","","",●,"",07,～,"",07,3010,2796,2579,""
"",クボタ,KL345(PC),3,34,"","",●,"",●,"","","","",●,07,～,"",07,3259,3080,2980,""
"",クボタ,KL345H,4,34,"",●,"","",●,"","","","",●,07,～,"",07,3300,2904,2639,""
"",クボタ,KL345H(PC),3,34,"","",●,"",●,"","","",●,"",07,～,"",07,2315,2106,1883,""
"",クボタ,KL345H(PC),3,34,"","",●,"",●,"","","","",●,07,～,"",07,3000,2924,2853,""
"",クボタ,KL34H,4,34,"",●,"","",●,"","","",●,"",00,～,"",00,1991,1714,1431,""
"",クボタ,KL34H,4,34,"",●,"","",●,"","","","",●,00,～,"",00,2228,2020,1852,""
"",クボタ,KL34R,3,34,"",●,"","",●,"","","",●,"",10,～,"",10,3426,3187,3056,""
"",クボタ,KL34R(PC),4,34,"","",●,"",●,"","","",●,"",10,～,"",10,3519,3149,2593,""
"",クボタ,KL380H,6,38,"",●,"","",●,"","","","",●,04,～,"",07,3241,2177,150,""
"",クボタ,L1-315,3,30.5,"",●,"","","","","",●,●,"",88,～,"",88,837,765,688,""
"",ヤンマー,AF-30,3,30,"",●,"","","","",●,"",●,"",92,～,"",96,1170,1032,926,""
"",ヤンマー,AF-33,4,33,"",●,"","","","",●,"",●,"",95,～,"",97,1683,1066,476,""
"",ヤンマー,AF-33,8,33,"",●,"","","","",●,"","",●,93,～,"",96,1380,1049,750,""
"",ヤンマー,AF-330R,5,33,"",●,"","","","",●,"",●,"",98,～,"",99,1800,1675,1473,""
